file,fact_rank,component,category,dia_id,abs_turn_index,n_turns,norm_pos_0_1,score,order_ok_triplet
conv-0.json,0,A,91,D2:15,32,452,0.070953,,True
conv-0.json,0,B,92,D9:5,187,452,0.414634,,True
conv-0.json,0,Aprime,93,D14:36,327,452,0.725055,,True
conv-0.json,1,A,91,D3:11,45,452,0.099778,,True
conv-0.json,1,B,92,D9:17,199,452,0.441242,,True
conv-0.json,1,Aprime,93,D14:38,329,452,0.729490,,True
conv-0.json,2,A,91,D3:18,52,452,0.115299,,True
conv-0.json,2,B,92,D10:1,203,452,0.450111,,True
conv-0.json,2,Aprime,93,D15:24,356,452,0.789357,,True
conv-0.json,3,A,91,D4:15,72,452,0.159645,,True
conv-0.json,3,B,92,D10:24,226,452,0.501109,,True
conv-0.json,3,Aprime,93,D15:26,358,452,0.793792,,True
conv-0.json,4,A,91,D4:19,76,452,0.168514,,True
conv-0.json,4,B,92,D11:2,231,452,0.512195,,True
conv-0.json,4,Aprime,93,D16:20,383,452,0.849224,,True
conv-0.json,5,A,91,D4:20,77,452,0.170732,,True
conv-0.json,5,B,92,D11:19,248,452,0.549889,,True
conv-0.json,5,Aprime,93,D17:1,387,452,0.858093,,True
conv-0.json,6,A,91,D4:22,79,452,0.175166,,True
conv-0.json,6,B,92,D12:10,260,452,0.576497,,True
conv-0.json,6,Aprime,93,D17:25,411,452,0.911308,,True
conv-0.json,7,A,91,D5:9,91,452,0.201774,,True
conv-0.json,7,B,92,D13:1,272,452,0.603104,,True
conv-0.json,7,Aprime,93,D18:8,420,452,0.931264,,True
conv-0.json,8,A,91,D5:14,96,452,0.212860,,True
conv-0.json,8,B,92,D13:17,288,452,0.638581,,True
conv-0.json,8,Aprime,93,D18:12,424,452,0.940133,,True
conv-0.json,9,A,91,D6:11,111,452,0.246120,,True
conv-0.json,9,B,92,D16:19,382,452,0.847007,,True
conv-0.json,9,Aprime,93,D19:9,445,452,0.986696,,True
conv-1.json,0,A,91,D1:27,26,370,0.070461,,True
conv-1.json,0,B,92,D10:3,178,370,0.482385,,True
conv-1.json,0,Aprime,93,D17:2,314,370,0.850949,,True
conv-1.json,1,A,91,D2:1,28,370,0.075881,,True
conv-1.json,1,B,92,D10:12,187,370,0.506775,,True
conv-1.json,1,Aprime,93,D17:3,315,370,0.853659,,True
conv-1.json,2,A,91,D4:1,58,370,0.157182,,True
conv-1.json,2,B,92,D11:3,193,370,0.523035,,True
conv-1.json,2,Aprime,93,D17:10,322,370,0.872629,,True
conv-1.json,3,A,91,D4:2,59,370,0.159892,,True
conv-1.json,3,B,92,D11:20,210,370,0.569106,,True
conv-1.json,3,Aprime,93,D17:11,323,370,0.875339,,True
conv-1.json,4,A,91,D5:10,86,370,0.233062,,True
conv-1.json,4,B,92,D12:3,215,370,0.582656,,True
conv-1.json,4,Aprime,93,D17:13,325,370,0.880759,,True
conv-1.json,5,A,91,D5:22,98,370,0.265583,,True
conv-1.json,5,B,92,D12:6,218,370,0.590786,,True
conv-1.json,5,Aprime,93,D17:14,326,370,0.883469,,True
conv-1.json,6,A,91,D6:13,112,370,0.303523,,True
conv-1.json,6,B,92,D12:16,228,370,0.617886,,True
conv-1.json,6,Aprime,93,D18:2,335,370,0.907859,,True
conv-1.json,7,A,91,D6:16,115,370,0.311653,,True
conv-1.json,7,B,92,D13:2,233,370,0.631436,,True
conv-1.json,7,Aprime,93,D18:15,348,370,0.943089,,True
conv-1.json,8,A,91,D6:18,117,370,0.317073,,True
conv-1.json,8,B,92,D13:3,234,370,0.634146,,True
conv-1.json,8,Aprime,93,D18:20,353,370,0.956640,,True
conv-1.json,9,A,91,D7:13,131,370,0.355014,,True
conv-1.json,9,B,92,D13:20,251,370,0.680217,,True
conv-1.json,9,Aprime,93,D19:8,363,370,0.983740,,True
conv-2.json,0,A,91,D3:18,62,693,0.089595,,True
conv-2.json,0,B,92,D12:24,257,693,0.371387,,True
